,가구,1040,2855,4847,NNBC,*,F,가구.1,*.1,*.2,*.3,*.4
0,가락,1041,3216,5354,NNBC,*,T,가락,*,*,*,*
1,가마,1042,2856,4423,NNBC,*,F,가마,*,*,*,*
2,가마니,1043,2857,4589,NNBC,*,F,가마니,*,*,*,*
3,가밀,1044,3217,4763,NNBC,*,T,가밀,*,*,*,*
4,가우스,1045,2858,4589,NNBC,*,F,가우스,*,*,*,*
5,가족,1046,3218,3425,NNBC,*,T,가족,*,*,*,*
6,가지,1047,2859,2981,NNBC,*,F,가지,*,*,*,*
7,가호,1053,2860,4664,NNBC,*,F,가호,*,*,*,*
8,각,1054,3219,6414,NNBC,*,T,각,*,*,*,*
9,간,1055,3220,7003,NNBC,*,T,간,*,*,*,*
10,갈,1056,3221,6455,NNBC,*,T,갈,*,*,*,*
11,갈래,1057,2861,5016,NNBC,*,F,갈래,*,*,*,*
12,감,1058,3222,7232,NNBC,*,T,감,*,*,*,*
13,감마,1059,2862,4591,NNBC,*,F,감마,*,*,*,*
14,갑,1060,3223,5722,NNBC,*,T,갑,*,*,*,*
15,갓,1061,3224,4591,NNBC,*,T,갓,*,*,*,*
16,강다리,1062,2863,4589,NNBC,*,F,강다리,*,*,*,*
17,개,1063,2864,4568,NNBC,*,F,개,*,*,*,*
18,개국,1064,3225,3741,NNBC,*,T,개국,*,*,*,*
19,개년,1065,3226,4213,NNBC,*,T,개년,*,*,*,*
20,개비,1066,2865,4863,NNBC,*,F,개비,*,*,*,*
21,개소,1067,2866,4589,NNBC,*,F,개소,*,*,*,*
22,개월,1068,3227,2652,NNBC,*,T,개월,*,*,*,*
23,개조,1069,2867,5102,NNBC,*,F,개조,*,*,*,*
24,갤런,1078,3228,4589,NNBC,*,T,갤런,*,*,*,*
25,거듬,1080,3229,4589,NNBC,*,T,거듬,*,*,*,*
26,거리,1081,2868,5750,NNBC,*,F,거리,*,*,*,*
27,건,1082,3230,5628,NNBC,*,T,건,*,*,*,*
28,걸음,1083,3231,5275,NNBC,*,T,걸음,*,*,*,*
29,게라,1084,2869,4781,NNBC,*,F,게라,*,*,*,*
30,게브,1085,2870,4589,NNBC,*,F,게브,*,*,*,*
31,결,1086,3232,6358,NNBC,*,T,결,*,*,*,*
32,겹,1087,3233,5866,NNBC,*,T,겹,*,*,*,*
33,경,1088,3234,7184,NNBC,*,T,경,*,*,*,*
34,고랑,1089,3235,4589,NNBC,*,T,고랑,*,*,*,*
35,고랑배미,1090,2871,4589,NNBC,*,F,고랑배미,*,*,*,*
36,고리,1091,2872,4885,NNBC,*,F,고리,*,*,*,*
37,곡,1092,3236,6254,NNBC,*,T,곡,*,*,*,*
38,곤,1093,3237,5635,NNBC,*,T,곤,*,*,*,*
39,공기,1094,2873,4325,NNBC,*,F,공기,*,*,*,*
40,과,1095,2874,7305,NNBC,*,F,과,*,*,*,*
41,과목,1096,3238,4234,NNBC,*,T,과목,*,*,*,*
42,관,1097,3239,7116,NNBC,*,T,관,*,*,*,*
43,광년,1098,3240,4479,NNBC,*,T,광년,*,*,*,*
44,광주리,1099,2875,4589,NNBC,*,F,광주리,*,*,*,*
45,괴,1100,2876,5765,NNBC,*,F,괴,*,*,*,*
46,교,1101,2877,6812,NNBC,*,F,교,*,*,*,*
47,교시,1102,2878,4164,NNBC,*,F,교시,*,*,*,*
48,구,1103,2879,7168,NNBC,*,F,구,*,*,*,*
49,국자,1104,2880,4675,NNBC,*,F,국자,*,*,*,*
50,국제볼트,1105,2881,4589,NNBC,*,F,국제볼트,*,*,*,*
51,국제암페어,1106,2882,4589,NNBC,*,F,국제암페어,*,*,*,*
52,국제옴,1107,3241,4589,NNBC,*,T,국제옴,*,*,*,*
53,국제옹스트롱,1108,3242,4589,NNBC,*,T,국제옹스트롱,*,*,*,*
54,국제와트,1109,2883,4589,NNBC,*,F,국제와트,*,*,*,*
55,군,1110,3243,6547,NNBC,*,T,군,*,*,*,*
56,군단,1111,3244,4517,NNBC,*,T,군단,*,*,*,*
57,군데,1112,2884,3854,NNBC,*,F,군데,*,*,*,*
58,권,1117,3245,3973,NNBC,*,T,권,*,*,*,*
59,궤,1118,2885,4706,NNBC,*,F,궤,*,*,*,*
60,그램,1119,3246,3000,NNBC,*,T,그램,*,*,*,*
61,그램당량,1120,3247,4589,NNBC,*,T,그램당량,*,*,*,*
